District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Greenwich School District,International School At Dundee,Public Schools,0571311,55 Florence Rd.,Riverside,06878,203-637-3800,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,0,"55 Florence Rd.
Riverside, CT 06878
(41.051540999, -73.576541037)"
Bridgeport School District,Geraldine Johnson School,Public Schools,0153211,475 Lexington Avenue,Bridgeport,06604-2675,203-275-2500,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"475 Lexington Avenue
Bridgeport, CT 06604-2675
(41.184520019, -73.203787996)"
East Hampton School District,East Hampton Middle School,Public Schools,0425111,19 Childs Rd.,East Hampton,06424-1709,860-365-4060,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"19 Childs Rd.
East Hampton, CT 06424-1709
(41.568227998, -72.522763979)"
Greenwich School District,North Mianus School,Public Schools,0570711,309 Palmer Hill Rd.,Riverside,06878-1011,203-637-9730,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"309 Palmer Hill Rd.
Riverside, CT 06878-1011
(41.056305985, -73.57948803)"
Regional School District 15,Pomperaug Elementary School,Regional Schools,2150512,607 Main St. S,Southbury,06488,203-264-8283,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"607 Main St. S
Southbury, CT 06488
(41.466031015, -73.226596999)"
Glastonbury School District,Gideon Welles School,Public Schools,0540811,1029 Neipsic Rd.,Glastonbury,06033-2571,860-652-7800,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"1029 Neipsic Rd.
Glastonbury, CT 06033-2571
(41.701537013, -72.546969993)"
Judicial Centers,REGIONS secure Hartford,State Agency Facilities,3481815,920 Broad Street,Hartford,06106,860-244-7961,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2018-07-02T00:00:00.000,,"920 Broad Street
Hartford, CT 06106
(41.757079988, -72.686318966)"
East Lyme School District,Lillie B. Haynes School,Public Schools,0450411,29 Society Rd.,Niantic,06357-1107,860-739-2922,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"29 Society Rd.
Niantic, CT 06357-1107
(41.350510996, -72.213527994)"
Meriden School District,Casimir Pulaski School,Public Schools,0801111,100 Clearview Ave.,Meriden,06450-6414,203-238-1273,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Clearview Ave.
Meriden, CT 06450-6414
(41.52412301, -72.804866989)"
Ansonia School District,Ansonia High School,Public Schools,0026111,20 Pulaski Hwy.,Ansonia,06401-2561,203-736-5060,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"20 Pulaski Hwy.
Ansonia, CT 06401-2561
(41.32682399, -73.065536969)"
Waterford School District,Great Neck Elementary School,Public Schools,1520211,165 Great Neck Rd.,Waterford,06385-3739,860-442-2593,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2010-08-31T00:00:00.000,0,"165 Great Neck Rd.
Waterford, CT 06385-3739
(41.313102018, -72.133430025)"
Ellington School District,Ellington High School,Public Schools,0486111,37 Maple St.,Ellington,06029-3333,860-896-2352,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"37 Maple St.
Ellington, CT 06029-3333
(41.910012002, -72.46211697)"
Bridgeport School District,Hall School,Public Schools,0151111,290 Clermont Ave.,Bridgeport,06610-2902,203-576-7560,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"290 Clermont Ave.
Bridgeport, CT 06610-2902
(41.191721292, -73.160604793)"
Hartford School District,Montessori Magnet at Fisher School,Public Schools,0643711,280 Plainfield Street,Hartford,06112-1028,860-695-3560,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2008-08-25T00:00:00.000,1,"280 Plainfield Street
Hartford, CT 06112-1028
(41.792240982, -72.707827013)"
Canton School District,Canton High School,Public Schools,0236111,76 Simonds Avenue,Canton,06019-1207,860-693-7707,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"76 Simonds Avenue
Canton, CT 06019-1207
(41.826280016, -72.916728013)"
New Britain School District,DiLoreto Elementary & Middle School,Public Schools,0891111,732 Slater Rd.,New Britain,06053-2239,860-223-2885,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"732 Slater Rd.
New Britain, CT 06053-2239
(41.686670995, -72.807918001)"
West Hartford School District,Webster Hill School,Public Schools,1551211,125 Webster Hill Blvd.,West Hartford,06117,860-521-0320,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"125 Webster Hill Blvd.
West Hartford, CT 06117
(41.743641995, -72.741907999)"
Mansfield School District,Mansfield School District,Public School Districts,0780011,4 South Eagleville Road,Storrs,06268,860-429-3350,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"4 South Eagleville Road
Storrs, CT 06268
(41.801327007, -72.242818974)"
Plainville School District,Linden Street School,Public Schools,1100211,69 Linden St.,Plainville,06062-2352,860-793-3270,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"69 Linden St.
Plainville, CT 06062-2352
(41.669307003, -72.858066006)"
Fairfield School District,Jennings School,Public Schools,0511711,31 Palm Dr.,Fairfield,06824,203-255-8316,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"31 Palm Dr.
Fairfield, CT 06824
(41.187713985, -73.246635028)"
New Fairfield School District,New Fairfield Middle School,Public Schools,0915211,56 Gillotti Rd.,New Fairfield,06812-2525,203-312-5885,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1989-07-01T00:00:00.000,0,"56 Gillotti Rd.
New Fairfield, CT 06812-2525
(41.458667601, -73.50353379)"
Orange School District,Orange School District,Public School Districts,1070011,637 Orange Center Road,Orange,06477,203-891-8020,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"637 Orange Center Road
Orange, CT 06477
(41.279881015, -73.025454037)"
New Haven School District,Augusta Lewis Troup School,Public Schools,0931511,259 Edgewood Ave.,New Haven,06511-4106,475-220-3000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2005-07-01T00:00:00.000,0,"259 Edgewood Ave.
New Haven, CT 06511-4106
(41.313432013, -72.942171028)"
Stamford School District,Julia A. Stark School,Public Schools,1351211,398 Glenbrook Rd.,Stamford,06906-2122,203-977-4583,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"398 Glenbrook Rd.
Stamford, CT 06906-2122
(41.067364021, -73.522362008)"
Watertown School District,Watertown School District,Public School Districts,1530011,61 Echo Lake Road,Watertown,06795,860-945-4800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"61 Echo Lake Road
Watertown, CT 06795
(41.603897019, -73.114500024)"
Bridgeport School District,Central High School,Public Schools,0156211,1 Lincoln Blvd.,Bridgeport,06606-5502,203-576-7377,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1 Lincoln Blvd.
Bridgeport, CT 06606-5502
(41.188621997, -73.204961965)"
East Haddam School District,Nathan Hale-Ray Middle School,Public Schools,0415111,73 Clark Gates Rd.,Moodus,06469-0363,860-873-5081,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2008-08-01T00:00:00.000,0,"73 Clark Gates Rd.
Moodus, CT 06469-0363
(41.520329989, -72.441660013)"
Unified School District #2,Unified School District #2,State Agencies,3470015,505 Hudson Street,Hartford,06106,860-550-6416,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"505 Hudson Street
Hartford, CT 06106
(41.756935987, -72.679426024)"
New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy,Public Charter Schools,2800113,184 Garden St.,Bridgeport,06605,203-384-2897,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"184 Garden St.
Bridgeport, CT 06605
(41.169461934, -73.198630046)"
Southington School District,South End Elementary School,Public Schools,1310711,10 Maxwell-Noble Drive,Plantsville,06479,860-628-3320,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Maxwell-Noble Drive
Plantsville, CT 06479
(41.570079015, -72.878090959)"
Stonington School District,Stonington School District,Public School Districts,1370011,40 Field Street,Pawcatuck,06379,860-572-0506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"40 Field Street
Pawcatuck, CT 06379
(41.370259012, -71.843126999)"
Hartford School District,Betances STEM Magnet School,Public Schools,0643811,400 Wethersfield Avenue,Hartford,06114,860-695-2970,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2012-07-01T00:00:00.000,1,"400 Wethersfield Avenue
Hartford, CT 06114
(41.745017004, -72.672334012)"
East Hartford School District,Connecticut IB Academy,Public Schools,0436311,857 Forbes St.,East Hartford,06118,860-622-5590,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2003-07-01T00:00:00.000,1,"857 Forbes St.
East Hartford, CT 06118
(41.755065984, -72.605529992)"
Hartford School District,"M. L. King, Jr. Middle School",Public Schools,0641611,25 Ridgefield Street,Hartford,06112,860-695-3980,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Ridgefield Street
Hartford, CT 06112
(41.785668019, -72.696705988)"
New Hartford School District,Ann Antolini School,Public Schools,0920311,30 Antolini Road,New Hartford,06057-3326,860-489-4169,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"30 Antolini Road
New Hartford, CT 06057-3326
(41.825001986, -73.016149035)"
Brookfield School District,Candlewood Lake Elementary School,Public Schools,0180111,100 Candlewood Lake Road,Brookfield,06804,203-775-7675,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2023-07-01T00:00:00.000,,"100 Candlewood Lake Road
Brookfield, CT 06804
(41.447720999, -73.419145995)"
Regional School District 14,Regional School District 14,Regional School Districts,2140012,"5 Minortown Road, PO Box 469",Woodbury,06798,203-263-4339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"5 Minortown Road, PO Box 469
Woodbury, CT 06798
(41.558673005, -73.192293976)"
Ridgefield School District,Scotts Ridge Middle School,Public Schools,1185211,750 North Salem Rd.,Ridgefield,06877,203-894-5725,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"750 North Salem Rd.
Ridgefield, CT 06877
(41.327894987, -73.531356041)"
Regional School District 09,Regional School District 09,Regional School Districts,2090012,"654 Morehouse Road, PO Box 500",Easton,06612,203-261-2513,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"654 Morehouse Road, PO Box 500
Easton, CT 06612
(41.250763243, -73.295653557)"
Stamford School District,Stillmeadow School,Public Schools,1352111,800 Stillwater Rd.,Stamford,06902,203-977-4507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"800 Stillwater Rd.
Stamford, CT 06902
(41.069623991, -73.55897701)"
Regional School District 12,The Burnham School,Regional Schools,2120112,80 Main St.,Bridgewater,06752-1518,860-354-5559,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"80 Main St.
Bridgewater, CT 06752-1518
(41.532969019, -73.364547032)"
Elm City College Preparatory School District,Elm City College Preparatory School,Public Charter Schools,2890113,407 James Street,New Haven,06513,203-772-7010,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2009-07-01T00:00:00.000,0,"407 James Street
New Haven, CT 06513
(41.313799015, -72.903386034)"
Guilford School District,A. W. Cox School,Public Schools,0600611,143 Three Mile Course,Guilford,06437-2522,203-453-5291,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"143 Three Mile Course
Guilford, CT 06437-2522
(41.286665998, -72.696651003)"
Waterbury School District,Michael F. Wallace Middle School,Public Schools,1515111,3465 East Main St.,Waterbury,06705-3805,203-574-8140,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"3465 East Main St.
Waterbury, CT 06705-3805
(41.5433517, -72.974459334)"
West Haven School District,Washington School,Public Schools,1561211,255 Meloy Road,West Haven,06516-5328,203-931-6880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"255 Meloy Road
West Haven, CT 06516-5328
(41.27644498, -72.974730028)"
Connecticut Technical Education and Career System,E. C. Goodwin Technical High School,CT Technical Education and Career Schools,9001916,735 Slater Rd.,New Britain,06053-2200,860-827-7736,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"735 Slater Rd.
New Britain, CT 06053-2200
(41.686273986, -72.805624964)"
Waterbury School District,Driggs School,Public Schools,1510911,77 Woodlawn Terrace,Waterbury,06710-1721,203-574-8160,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"77 Woodlawn Terrace
Waterbury, CT 06710-1721
(41.563693011, -73.042734001)"
Simsbury School District,Simsbury School District,Public School Districts,1280011,933 Hopmeadow Street,Simsbury,06070,860-651-3361,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"933 Hopmeadow Street
Simsbury, CT 06070
(41.880287007, -72.800975019)"
Regional School District 18,Regional School District 18,Regional School Districts,2180012,49 Lyme Street,Old Lyme,06371,860-434-7238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"49 Lyme Street
Old Lyme, CT 06371
(41.318804981, -72.327529002)"
Stratford School District,David Wooster Middle School,Public Schools,1385211,150 Lincoln Street,Stratford,06615-4000,203-385-4275,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"150 Lincoln Street
Stratford, CT 06615-4000
(41.213721019, -73.142168016)"
Woodbridge School District,Woodbridge School District,Public School Districts,1670011,40 Beecher Road,Woodbridge,06525,203-387-6631,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"40 Beecher Road
Woodbridge, CT 06525
(41.336282003, -73.009701005)"
South Windsor School District,South Windsor High School,Public Schools,1326211,161 Nevers Rd.,South Windsor,06074-2129,860-648-5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"161 Nevers Rd.
South Windsor, CT 06074-2129
(41.842017123, -72.554456793)"
Regional School District 07,Northwestern Regional Middle School,Regional Schools,2075112,100 Battistoni Dr.,Winsted,06098-1899,860-379-7243,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"100 Battistoni Dr.
Winsted, CT 06098-1899
(41.914618989, -73.047962968)"
West Haven School District,West Haven School District,Public School Districts,1560011,355 Main Street,West Haven,06516,203-937-4300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"355 Main Street
West Haven, CT 06516
(41.272582012, -72.950459976)"
Greenwich School District,Cos Cob School,Public Schools,0570211,300 East Putnam Ave.,Cos Cob,06807-2545,203-869-4670,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"300 East Putnam Ave.
Cos Cob, CT 06807-2545
(41.038621388, -73.598375456)"
Fairfield School District,Fairfield School District,Public School Districts,0510011,"501 Kings Highway East, Suite 210",Fairfield,06825,203-255-8371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"501 Kings Highway East, Suite 210
Fairfield, CT 06825
(41.172848009, -73.227037971)"
Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Regional Education Service Center Schools,2440314,88 Bassett Road,North Haven,06473,203-281-9668,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2000-07-01T00:00:00.000,1,"88 Bassett Road
North Haven, CT 06473
(41.396952985, -72.836261994)"
Trumbull School District,Hillcrest Middle School,Public Schools,1445211,530 Daniels Farm Rd.,Trumbull,06611-5547,203-452-4466,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"530 Daniels Farm Rd.
Trumbull, CT 06611-5547
(41.261603982, -73.196546032)"
Hampton School District,Hampton School District,Public School Districts,0630011,380 Main Street,Hampton,06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"380 Main Street
Hampton, CT 06247-1416
(41.792394999, -72.05928899)"
Capital Preparatory Harbor School District,Capital Preparatory Harbor School District,Public Charter School Districts,2970013,777 Main St.,Bridgeport,06604,475-422-5900,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-08-24T00:00:00.000,,"777 Main St.
Bridgeport, CT 06604
(41.175150015, -73.188496974)"
Bethel School District,Ralph M. T. Johnson School,Public Schools,0090511,500 Whittlesey Dr.,Bethel,06801-1518,203-794-8700,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"500 Whittlesey Dr.
Bethel, CT 06801-1518
(41.384094295, -73.396426971)"
Bloomfield School District,Global Experience Magnet School,Public Schools,0116311,"44 Griffin Rd., South",Bloomfield,06002,860-769-6600,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2012-07-01T00:00:00.000,1,"44 Griffin Rd., South
Bloomfield, CT 06002
(41.869754014, -72.734454979)"
Connecticut Technical Education and Career System,H. H. Ellis Technical High School,CT Technical Education and Career Schools,9001316,613 Upper Maple St.,Danielson,06239,860-412-7500,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"613 Upper Maple St.
Danielson, CT 06239
(41.818808011, -71.894345038)"
Newtown School District,Sandy Hook Elementary School,Public Schools,0970211,12 Dickinson Drive,Sandy Hook,06482,203-426-7657,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"12 Dickinson Drive
Sandy Hook, CT 06482
(41.419738015, -73.278621963)"
Danbury School District,DPS Early Childhood Center at Granville,Public Schools,0340411,14 Granville Avenue,Danbury,06810,203-797-4990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-19T00:00:00.000,,"14 Granville Avenue
Danbury, CT 06810
(41.399453711, -73.450213405)"
Stratford School District,Second Hill Lane School,Public Schools,1381011,65 Second Hill Lane,Stratford,06614,203-385-4292,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"65 Second Hill Lane
Stratford, CT 06614
(41.218911533, -73.149275265)"
New Haven School District,Bishop Woods Architecture and Design Magnet School,Public Schools,0934311,1481 Quinnipiac Avenue,New Haven,06513,475-220-7300,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1481 Quinnipiac Avenue
New Haven, CT 06513
(41.326266006, -72.867403027)"
Hartford School District,Great Path Academy at MCC,Public Schools,0647911,"60 Bidwell Street, MS #20",Manchester,06045,860-512-3700,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2012-07-01T00:00:00.000,1,"60 Bidwell Street, MS #20
Manchester, CT 06045
(41.76095402, -72.562878007)"
Granby School District,Wells Road Intermediate School,Public Schools,0560311,134 Wells Rd.,Granby,06035-1009,860-844-3048,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"134 Wells Rd.
Granby, CT 06035-1009
(41.990966015, -72.808132997)"
Bridgeport School District,Read School,Public Schools,0152511,130 Ezra St.,Bridgeport,06606-5061,203-576-8030,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"130 Ezra St.
Bridgeport, CT 06606-5061
(41.202749988, -73.198362977)"
Madison School District,Kathleen H. Ryerson Elementary School,Public Schools,0760311,982 Durham Rd.,Madison,06443-1843,203-245-6440,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"982 Durham Rd.
Madison, CT 06443-1843
(41.339776639, -72.628615915)"
Eastford School District,Eastford School District,Public School Districts,0390011,"12 Westford Road, Box 158",Eastford,06242,860-974-1130,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"12 Westford Road, Box 158
Eastford, CT 06242
(41.902810019, -72.082108973)"
Lebanon School District,Lebanon Middle School,Public Schools,0715111,891 Exeter Rd.,Lebanon,06249-1742,860-642-4702,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"891 Exeter Rd.
Lebanon, CT 06249-1742
(41.62440301, -72.234488033)"
Portland School District,Brownstone Intermediate School,Public Schools,1130511,314 Main St.,Portland,06480-1877,860-342-6765,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2004-07-01T00:00:00.000,0,"314 Main St.
Portland, CT 06480-1877
(41.577359997, -72.637996037)"
Norwalk School District,Kendall College & Career Academy,Public Schools,1030811,57 Fillow Street,Norwalk,06850,203-899-2880,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"57 Fillow Street
Norwalk, CT 06850
(41.117957021, -73.432960042)"
Manchester School District,Bowers School,Public Schools,0770111,141 Princeton Street,Manchester,06042,860-647-3313,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"141 Princeton Street
Manchester, CT 06042
(41.788657006, -72.510162961)"
Fairfield School District,Fairfield Ludlowe High School,Public Schools,0516011,785 Unquowa Rd.,Fairfield,06824,203-255-7201,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2005-07-01T00:00:00.000,0,"785 Unquowa Rd.
Fairfield, CT 06824
(41.14920002, -73.263608968)"
Stamford School District,Newfield School,Public Schools,1350611,345 Pepper Ridge Rd.,Stamford,06905-2801,203-977-4282,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"345 Pepper Ridge Rd.
Stamford, CT 06905-2801
(41.091156011, -73.539434016)"
Berlin School District,Catherine M. McGee Middle School,Public Schools,0075111,899 Norton Rd.,Berlin,06037-3017,860-828-0323,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"899 Norton Rd.
Berlin, CT 06037-3017
(41.61663001, -72.763138019)"
Colchester School District,William J. Johnston Middle School,Public Schools,0285111,360 Norwich Ave.,Colchester,06415-1272,860-537-2313,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"360 Norwich Ave.
Colchester, CT 06415-1272
(41.575809401, -72.319400535)"
Danbury School District,Great Plain School,Public Schools,0341111,10 Stadley Rough Rd.,Danbury,06811-4023,203-797-4749,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Stadley Rough Rd.
Danbury, CT 06811-4023
(41.420845013, -73.435012015)"
Stratford School District,Stratford School District,Public School Districts,1380011,1000 East Broadway,Stratford,06615,203-385-4210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1000 East Broadway
Stratford, CT 06615
(41.193772005, -73.129196015)"
Seymour School District,Bungay School,Public Schools,1240111,35 Bungay Rd.,Seymour,06483-2521,203-881-7500,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"35 Bungay Rd.
Seymour, CT 06483-2521
(41.389164459, -73.090108102)"
Bloomfield School District,Laurel Literacy Academy,Public Schools,0110611,1 Filley St.,Bloomfield,06002-1854,860-286-2675,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2012-07-01T00:00:00.000,0,"1 Filley St.
Bloomfield, CT 06002-1854
(41.836672508, -72.722155511)"
Bristol School District,Ellen P. Hubbell School,Public Schools,0171411,90 West Washington St.,Bristol,06010-5444,860-584-7842,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"90 West Washington St.
Bristol, CT 06010-5444
(41.678919998, -72.907807991)"
Waterbury School District,John F. Kennedy High School,Public Schools,1516411,422 Highland Ave.,Waterbury,06708-3443,203-574-8153,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"422 Highland Ave.
Waterbury, CT 06708-3443
(41.546134013, -73.057246009)"
Middletown School District,Beman Middle School,Public Schools,0835411,1 Wilderman's Way,Middletown,06457-4356,860-347-8594,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"1 Wilderman's Way
Middletown, CT 06457-4356
(41.539807982, -72.645375967)"
East Haven School District,East Haven High School,Public Schools,0446111,35 Wheelbarrow Ln.,East Haven,06513,203-468-3254,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"35 Wheelbarrow Ln.
East Haven, CT 06513
(41.328613987, -72.832427022)"
Torrington School District,Torrington School District,Public School Districts,1430011,355 Migeon Avenue,Torrington,06790,860-489-2327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"355 Migeon Avenue
Torrington, CT 06790
(41.809785982, -73.131268021)"
New Haven School District,Wilbur Cross High School,Public Schools,0936111,181 Mitchell Dr.,New Haven,06511,475-220-7400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"181 Mitchell Dr.
New Haven, CT 06511
(41.324609994, -72.908015024)"
Monroe School District,Monroe Elementary School,Public Schools,0850111,375 Monroe Tpke.,Monroe,06468,203-452-2870,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"375 Monroe Tpke.
Monroe, CT 06468
(41.309257993, -73.222592041)"
Regional School District 05,Amity Middle School: Bethany,Regional Schools,2055112,190 Luke Hill Rd.,Bethany,06524-3345,203-393-3102,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"190 Luke Hill Rd.
Bethany, CT 06524-3345
(41.417488983, -73.006358972)"
Enfield School District,Edgar H. Parkman School,Public Schools,0491311,165 Weymouth Rd.,Enfield,06082-6200,860-253-6570,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"165 Weymouth Rd.
Enfield, CT 06082-6200
(41.948999, -72.570223991)"
East Granby School District,East Granby Middle School,Public Schools,0405111,95 South Main St.,East Granby,06026-9550,860-653-7113,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"95 South Main St.
East Granby, CT 06026-9550
(41.93293701, -72.727957998)"
Hartford School District,Kinsella Magnet School of Performing Arts: PK-8 Campus,Public Schools,0641111,65 Van Block Avenue,Hartford,06106,860-695-4140,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1,"65 Van Block Avenue
Hartford, CT 06106
(41.75479001, -72.665540982)"
Bridgeport School District,Bridgeport Military Academy,Public Schools,0151611,160 Iranistan Avenue,Bridgeport,06605,203-275-3961,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-29T00:00:00.000,,"160 Iranistan Avenue
Bridgeport, CT 06605
(41.164119011, -73.195710021)"
