District name,Category,Student group,2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Coordinates
Essex School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,58,0.9429,56.0,0.9774,60.0,0.9666,"41.350053009, -72.419183018)"
Essex School District,Race/Ethnicity,Hispanic/Latino of any race,23,0.9544,20.0,0.983,21.0,0.9736,"41.350053009, -72.419183018)"
Essex School District,Race/Ethnicity,White,232,0.9501,244.0,0.9806,252.0,0.962,"41.350053009, -72.419183018)"
Essex School District,High Needs,Students Without High Needs,178,0.9505,193.0,0.9829,197.0,0.9624,"41.350053009, -72.419183018)"
Essex School District,High Needs,Students With High Needs,89,0.9476,86.0,0.979,98.0,0.9659,"41.350053009, -72.419183018)"
Fairfield School District,,All Students,9229,0.9385,9178.0,0.9394,9530.0,0.9545,"41.186697009, -73.234227967)"
Fairfield School District,Students With Disabilities,Students With Disabilities,1408,0.9186,1298.0,0.9142,1416.0,0.9445,"41.186697009, -73.234227967)"
Fairfield School District,Free/Reduced Lunch,Free Meal Eligible,1072,0.9122,1084.0,0.8949,1239.0,0.9438,"41.186697009, -73.234227967)"
Fairfield School District,Free/Reduced Lunch,Reduced Price Meal Eligible,319,0.9386,302.0,0.9148,272.0,0.9535,"41.186697009, -73.234227967)"
Fairfield School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1391,0.9184,1386.0,0.8993,1511.0,0.9456,"41.186697009, -73.234227967)"
Fairfield School District,English Learners,English Learners,221,0.9125,211.0,0.9037,259.0,0.9485,"41.186697009, -73.234227967)"
Fairfield School District,Race/Ethnicity,All other races,1042,0.9456,1008.0,0.9487,1024.0,0.9594,"41.186697009, -73.234227967)"
Fairfield School District,Race/Ethnicity,Black or African American,257,0.9327,249.0,0.9061,240.0,0.9577,"41.186697009, -73.234227967)"
Fairfield School District,Race/Ethnicity,Hispanic/Latino of any race,1157,0.9256,1080.0,0.9166,1106.0,0.9492,"41.186697009, -73.234227967)"
Fairfield School District,Race/Ethnicity,White,6773,0.9399,6841.0,0.9428,7160.0,0.9545,"41.186697009, -73.234227967)"
Fairfield School District,High Needs,Students Without High Needs,6599,0.9452,6622.0,0.9495,6871.0,0.9577,"41.186697009, -73.234227967)"
Fairfield School District,High Needs,Students With High Needs,2553,0.9214,2457.0,0.9122,2659.0,0.9462,"41.186697009, -73.234227967)"
Farmington School District,,All Students,4073,0.9442,4014.0,0.9613,4067.0,0.9604,"41.751549985, -72.866600041)"
Farmington School District,Students With Disabilities,Students With Disabilities,485,0.9148,456.0,0.9214,472.0,0.9383,"41.751549985, -72.866600041)"
Farmington School District,Free/Reduced Lunch,Free Meal Eligible,558,0.9153,568.0,0.9141,598.0,0.9403,"41.751549985, -72.866600041)"
Farmington School District,Free/Reduced Lunch,Reduced Price Meal Eligible,163,0.9276,156.0,0.9474,122.0,0.9585,"41.751549985, -72.866600041)"
Farmington School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,721,0.9181,724.0,0.9213,720.0,0.9435,"41.751549985, -72.866600041)"
Farmington School District,English Learners,English Learners,180,0.9347,170.0,0.9657,188.0,0.9588,"41.751549985, -72.866600041)"
Farmington School District,Race/Ethnicity,All other races,1187,0.9552,1119.0,0.9744,1100.0,0.9652,"41.751549985, -72.866600041)"
Farmington School District,Race/Ethnicity,Black or African American,199,0.9272,201.0,0.9302,192.0,0.9478,"41.751549985, -72.866600041)"
Farmington School District,Race/Ethnicity,Hispanic/Latino of any race,407,0.9202,387.0,0.9327,356.0,0.9501,"41.751549985, -72.866600041)"
Farmington School District,Race/Ethnicity,White,2280,0.9443,2307.0,0.9623,2419.0,0.9608,"41.751549985, -72.866600041)"
Farmington School District,High Needs,Students Without High Needs,2863,0.9531,2815.0,0.9726,2915.0,0.9659,"41.751549985, -72.866600041)"
Farmington School District,High Needs,Students With High Needs,1166,0.9237,1136.0,0.9338,1152.0,0.9462,"41.751549985, -72.866600041)"
Franklin School District,,All Students,157,0.9376,156.0,0.9692,142.0,0.9606,"41.631544014, -72.126157969)"
Franklin School District,Free/Reduced Lunch,Free Meal Eligible,26,0.9169,,,,,"41.631544014, -72.126157969)"
Franklin School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,26,0.9169,35.0,0.9501,33.0,0.9493,"41.631544014, -72.126157969)"
Franklin School District,Race/Ethnicity,White,120,0.937,127.0,0.9697,117.0,0.9594,"41.631544014, -72.126157969)"
Franklin School District,High Needs,Students Without High Needs,120,0.9442,113.0,0.9766,105.0,0.9654,"41.631544014, -72.126157969)"
Franklin School District,High Needs,Students With High Needs,35,0.9172,42.0,0.9476,37.0,0.9466,"41.631544014, -72.126157969)"
Glastonbury School District,,All Students,5631,0.9509,5723.0,0.9744,5763.0,0.9629,"41.689774982, -72.595250007)"
Glastonbury School District,Students With Disabilities,Students With Disabilities,600,0.9216,616.0,0.9563,646.0,0.9441,"41.689774982, -72.595250007)"
Glastonbury School District,Free/Reduced Lunch,Free Meal Eligible,509,0.9174,639.0,0.9487,658.0,0.9456,"41.689774982, -72.595250007)"
Glastonbury School District,Free/Reduced Lunch,Reduced Price Meal Eligible,118,0.9279,155.0,0.956,119.0,0.9463,"41.689774982, -72.595250007)"
Glastonbury School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,627,0.9194,794.0,0.9502,777.0,0.9457,"41.689774982, -72.595250007)"
Glastonbury School District,English Learners,English Learners,146,0.9441,148.0,0.9686,151.0,0.9492,"41.689774982, -72.595250007)"
Glastonbury School District,Race/Ethnicity,All other races,1066,0.9609,1042.0,0.9837,1013.0,0.9671,"41.689774982, -72.595250007)"
Glastonbury School District,Race/Ethnicity,Black or African American,180,0.9372,182.0,0.9656,182.0,0.9625,"41.689774982, -72.595250007)"
Glastonbury School District,Race/Ethnicity,Hispanic/Latino of any race,643,0.9359,642.0,0.9597,617.0,0.9521,"41.689774982, -72.595250007)"
Glastonbury School District,Race/Ethnicity,White,3742,0.9513,3857.0,0.9747,3951.0,0.9634,"41.689774982, -72.595250007)"
Glastonbury School District,High Needs,Students Without High Needs,4400,0.9575,4389.0,0.9794,4453.0,0.9673,"41.689774982, -72.595250007)"
Glastonbury School District,High Needs,Students With High Needs,1179,0.9262,1292.0,0.9571,1310.0,0.9477,"41.689774982, -72.595250007)"
Granby School District,,All Students,1726,0.9449,1740.0,0.9682,1745.0,0.9608,"41.990966015, -72.808132997)"
Granby School District,Students With Disabilities,Students With Disabilities,256,0.9253,258.0,0.9532,253.0,0.9457,"41.990966015, -72.808132997)"
Granby School District,Free/Reduced Lunch,Free Meal Eligible,213,0.9164,188.0,0.9305,188.0,0.9397,"41.990966015, -72.808132997)"
Granby School District,Free/Reduced Lunch,Reduced Price Meal Eligible,39,0.9374,33.0,0.9598,31.0,0.954,"41.990966015, -72.808132997)"
Granby School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,252,0.9197,221.0,0.9348,219.0,0.9417,"41.990966015, -72.808132997)"
Granby School District,Race/Ethnicity,All other races,95,0.9391,92.0,0.9659,97.0,0.9547,"41.990966015, -72.808132997)"
Granby School District,Race/Ethnicity,Black or African American,104,0.9268,104.0,0.9349,97.0,0.9491,"41.990966015, -72.808132997)"
Granby School District,Race/Ethnicity,Hispanic/Latino of any race,80,0.9386,83.0,0.9603,68.0,0.9576,"41.990966015, -72.808132997)"
Granby School District,Race/Ethnicity,White,1447,0.9469,1461.0,0.9712,1483.0,0.9621,"41.990966015, -72.808132997)"
Granby School District,High Needs,Students Without High Needs,1257,0.9513,1296.0,0.9742,1329.0,0.9658,"41.990966015, -72.808132997)"
Granby School District,High Needs,Students With High Needs,447,0.9276,419.0,0.9496,416.0,0.9448,"41.990966015, -72.808132997)"
Greenwich School District,,All Students,8471,0.9418,8634.0,0.9596,8852.0,0.9996,"41.057936014, -73.619031)"
Greenwich School District,Students With Disabilities,Students With Disabilities,1093,0.9251,1048.0,0.9417,1107.0,0.9993,"41.057936014, -73.619031)"
Greenwich School District,Free/Reduced Lunch,Free Meal Eligible,1008,0.9214,1457.0,0.945,1370.0,0.9988,"41.057936014, -73.619031)"
Greenwich School District,Free/Reduced Lunch,Reduced Price Meal Eligible,326,0.9368,350.0,0.9531,455.0,1.0,"41.057936014, -73.619031)"
Greenwich School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1334,0.9251,1807.0,0.9466,1825.0,0.9991,"41.057936014, -73.619031)"
Greenwich School District,English Learners,English Learners,354,0.9318,330.0,0.9518,904.0,0.9994,"41.057936014, -73.619031)"
Greenwich School District,Race/Ethnicity,All other races,1251,0.9507,1245.0,0.9727,1224.0,0.9998,"41.057936014, -73.619031)"
Greenwich School District,Race/Ethnicity,Black or African American,187,0.9376,202.0,0.9574,221.0,0.9989,"41.057936014, -73.619031)"
Greenwich School District,Race/Ethnicity,Hispanic/Latino of any race,1921,0.9299,1924.0,0.9507,1973.0,0.9991,"41.057936014, -73.619031)"
Greenwich School District,Race/Ethnicity,White,5112,0.9442,5263.0,0.9598,5434.0,0.9998,"41.057936014, -73.619031)"
Greenwich School District,High Needs,Students Without High Needs,5998,0.9469,5866.0,0.965,5849.0,0.9998,"41.057936014, -73.619031)"
Greenwich School District,High Needs,Students With High Needs,2328,0.9286,2636.0,0.9479,3003.0,0.9994,"41.057936014, -73.619031)"
Griswold School District,,All Students,1639,0.9234,1653.0,0.943,1683.0,0.946,"41.59735398, -71.981599979)"
Griswold School District,Students With Disabilities,Students With Disabilities,319,0.8913,300.0,0.8988,295.0,0.913,"41.59735398, -71.981599979)"
Griswold School District,Free/Reduced Lunch,Free Meal Eligible,621,0.9031,634.0,0.9134,678.0,0.9305,"41.59735398, -71.981599979)"
Griswold School District,Free/Reduced Lunch,Reduced Price Meal Eligible,154,0.9198,170.0,0.9465,142.0,0.9411,"41.59735398, -71.981599979)"
Griswold School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,775,0.9064,804.0,0.9204,820.0,0.9324,"41.59735398, -71.981599979)"
Griswold School District,English Learners,English Learners,24,0.8672,26.0,0.9458,22.0,0.9481,"41.59735398, -71.981599979)"
Griswold School District,Race/Ethnicity,All other races,166,0.9136,166.0,0.9412,178.0,0.9373,"41.59735398, -71.981599979)"
Griswold School District,Race/Ethnicity,Black or African American,41,0.9164,37.0,0.9192,42.0,0.9438,"41.59735398, -71.981599979)"
Griswold School District,Race/Ethnicity,Hispanic/Latino of any race,205,0.9125,174.0,0.9411,159.0,0.9408,"41.59735398, -71.981599979)"
Griswold School District,Race/Ethnicity,White,1227,0.9267,1276.0,0.9442,1304.0,0.9479,"41.59735398, -71.981599979)"
Griswold School District,High Needs,Students Without High Needs,706,0.9444,692.0,0.9713,752.0,0.9622,"41.59735398, -71.981599979)"
Griswold School District,High Needs,Students With High Needs,901,0.9086,912.0,0.9217,931.0,0.9329,"41.59735398, -71.981599979)"
Groton School District,,All Students,4560,0.9144,3799.0,0.8721,4009.0,0.9445,"41.338491012, -72.067049962)"
Groton School District,Students With Disabilities,Students With Disabilities,748,0.8931,658.0,0.8299,713.0,0.9239,"41.338491012, -72.067049962)"
Groton School District,Free/Reduced Lunch,Free Meal Eligible,1499,0.8919,1535.0,0.8145,1521.0,0.9304,"41.338491012, -72.067049962)"
Groton School District,Free/Reduced Lunch,Reduced Price Meal Eligible,498,0.9218,465.0,0.8722,411.0,0.9425,"41.338491012, -72.067049962)"
Groton School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1997,0.8993,2000.0,0.8279,1932.0,0.933,"41.338491012, -72.067049962)"
Groton School District,English Learners,English Learners,176,0.9117,137.0,0.8395,168.0,0.9326,"41.338491012, -72.067049962)"
Groton School District,Race/Ethnicity,All other races,840,0.914,709.0,0.8766,691.0,0.9451,"41.338491012, -72.067049962)"
Groton School District,Race/Ethnicity,Black or African American,304,0.9074,286.0,0.8266,322.0,0.9432,"41.338491012, -72.067049962)"
Groton School District,Race/Ethnicity,Hispanic/Latino of any race,1076,0.9006,894.0,0.8202,906.0,0.9357,"41.338491012, -72.067049962)"
Groton School District,Race/Ethnicity,White,2340,0.9225,1910.0,0.9012,2090.0,0.9483,"41.338491012, -72.067049962)"
Groton School District,High Needs,Students Without High Needs,2001,0.9326,1458.0,0.9272,1773.0,0.9571,"41.338491012, -72.067049962)"
Groton School District,High Needs,Students With High Needs,2355,0.9014,2223.0,0.8368,2236.0,0.9343,"41.338491012, -72.067049962)"
Guilford School District,,All Students,3108,0.9372,3099.0,0.972,3232.0,0.9576,"41.28289498, -72.668841021)"
Guilford School District,Students With Disabilities,Students With Disabilities,380,0.9161,365.0,0.9524,383.0,0.945,"41.28289498, -72.668841021)"
Guilford School District,Free/Reduced Lunch,Free Meal Eligible,263,0.9101,295.0,0.9535,330.0,0.9425,"41.28289498, -72.668841021)"
Guilford School District,Free/Reduced Lunch,Reduced Price Meal Eligible,109,0.9141,99.0,0.9571,96.0,0.9513,"41.28289498, -72.668841021)"
Guilford School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,372,0.9113,394.0,0.9544,426.0,0.9445,"41.28289498, -72.668841021)"
Guilford School District,English Learners,English Learners,45,0.9488,57.0,0.9761,69.0,0.9554,"41.28289498, -72.668841021)"
Guilford School District,Race/Ethnicity,All other races,322,0.9477,294.0,0.9784,281.0,0.9632,"41.28289498, -72.668841021)"
Guilford School District,Race/Ethnicity,Black or African American,37,0.9264,39.0,0.976,34.0,0.9531,"41.28289498, -72.668841021)"
Guilford School District,Race/Ethnicity,Hispanic/Latino of any race,259,0.927,250.0,0.9676,245.0,0.9488,"41.28289498, -72.668841021)"
Guilford School District,Race/Ethnicity,White,2490,0.937,2516.0,0.9717,2672.0,0.9578,"41.28289498, -72.668841021)"
Guilford School District,High Needs,Students Without High Needs,2391,0.9428,2335.0,0.977,2466.0,0.9607,"41.28289498, -72.668841021)"
Guilford School District,High Needs,Students With High Needs,696,0.9179,721.0,0.9575,766.0,0.9472,"41.28289498, -72.668841021)"
Hamden School District,,All Students,5392,0.8962,5273.0,0.8943,5339.0,0.9429,"41.379617993, -72.912076978)"
Hamden School District,Students With Disabilities,Students With Disabilities,900,0.8745,927.0,0.8413,967.0,0.9221,"41.379617993, -72.912076978)"
Hamden School District,Free/Reduced Lunch,Free Meal Eligible,1738,0.8728,1827.0,0.8473,2185.0,0.9285,"41.379617993, -72.912076978)"
Hamden School District,Free/Reduced Lunch,Reduced Price Meal Eligible,391,0.908,458.0,0.9006,364.0,0.9516,"41.379617993, -72.912076978)"
Hamden School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,2129,0.8792,2285.0,0.8581,2549.0,0.9319,"41.379617993, -72.912076978)"
Hamden School District,English Learners,English Learners,340,0.9111,308.0,0.8925,368.0,0.9409,"41.379617993, -72.912076978)"
Hamden School District,Race/Ethnicity,All other races,686,0.9165,680.0,0.9262,699.0,0.9539,"41.379617993, -72.912076978)"
Hamden School District,Race/Ethnicity,Black or African American,1718,0.8871,1638.0,0.8654,1650.0,0.9418,"41.379617993, -72.912076978)"
Hamden School District,Race/Ethnicity,Hispanic/Latino of any race,1358,0.8826,1235.0,0.8749,1174.0,0.9325,"41.379617993, -72.912076978)"
Hamden School District,Race/Ethnicity,White,1630,0.9085,1720.0,0.9225,1816.0,0.9462,"41.379617993, -72.912076978)"
Hamden School District,High Needs,Students Without High Needs,2524,0.9135,2393.0,0.931,2293.0,0.9558,"41.379617993, -72.912076978)"
Hamden School District,High Needs,Students With High Needs,2693,0.8813,2763.0,0.8638,3046.0,0.9329,"41.379617993, -72.912076978)"
Hampton School District,,All Students,63,0.9111,58.0,0.9452,76.0,0.9535,"41.792394999, -72.05928899)"
Hampton School District,Race/Ethnicity,White,56,0.9089,53.0,0.9422,68.0,0.9511,"41.792394999, -72.05928899)"
Hampton School District,High Needs,Students Without High Needs,32,0.9222,29.0,0.9634,34.0,0.9637,"41.792394999, -72.05928899)"
Hampton School District,High Needs,Students With High Needs,29,0.8977,28.0,0.9268,42.0,0.9449,"41.792394999, -72.05928899)"
Hartford School District,,All Students,16371,0.8564,15785.0,0.8325,17344.0,0.9082,"41.756601004, -72.707501041)"
Hartford School District,Homelessness,Students Experiencing Homelessness,107,0.7986,28.0,0.7847,437.0,0.8454,"41.756601004, -72.707501041)"
Hartford School District,Students With Disabilities,Students With Disabilities,3227,0.8147,3160.0,0.7792,3614.0,0.8701,"41.756601004, -72.707501041)"
Hartford School District,Free/Reduced Lunch,Free Meal Eligible,12011,0.842,12281.0,0.8122,14146.0,0.8994,"41.756601004, -72.707501041)"
Hartford School District,Free/Reduced Lunch,Reduced Price Meal Eligible,434,0.9108,393.0,0.9119,415.0,0.9463,"41.756601004, -72.707501041)"
Hartford School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,12445,0.8444,12674.0,0.8153,14561.0,0.9008,"41.756601004, -72.707501041)"
Hartford School District,English Learners,English Learners,3591,0.8484,3572.0,0.8088,4054.0,0.9003,"41.756601004, -72.707501041)"
Hartford School District,Race/Ethnicity,All other races,1033,0.8971,1031.0,0.9126,1023.0,0.9309,"41.756601004, -72.707501041)"
Hartford School District,Race/Ethnicity,Black or African American,4852,0.8694,4486.0,0.8374,5204.0,0.9152,"41.756601004, -72.707501041)"
Hartford School District,Race/Ethnicity,Hispanic/Latino of any race,9286,0.8389,9067.0,0.809,9632.0,0.8967,"41.756601004, -72.707501041)"
Hartford School District,Race/Ethnicity,White,1200,0.905,1201.0,0.921,1485.0,0.9407,"41.756601004, -72.707501041)"
Hartford School District,High Needs,Students Without High Needs,2305,0.9148,1972.0,0.9384,2075.0,0.953,"41.756601004, -72.707501041)"
Hartford School District,High Needs,Students With High Needs,13351,0.8469,13371.0,0.8185,15269.0,0.902,"41.756601004, -72.707501041)"
Hartland School District,,All Students,129,0.9383,144.0,0.9081,148.0,0.9545,"41.997087028, -72.907683659)"
Hartland School District,Students With Disabilities,Students With Disabilities,29,0.9267,32.0,0.8798,31.0,0.9533,"41.997087028, -72.907683659)"
Hartland School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,26,0.9317,26.0,0.8534,30.0,0.9489,"41.997087028, -72.907683659)"
Hartland School District,Race/Ethnicity,White,109,0.9385,122.0,0.9096,128.0,0.9542,"41.997087028, -72.907683659)"
Hartland School District,High Needs,Students Without High Needs,86,0.9442,93.0,0.9244,96.0,0.9587,"41.997087028, -72.907683659)"
Hartland School District,High Needs,Students With High Needs,43,0.9272,46.0,0.8733,52.0,0.9469,"41.997087028, -72.907683659)"
Hebron School District,,All Students,635,0.9527,599.0,0.9707,593.0,0.9585,"41.676185989, -72.407882033)"
Hebron School District,Students With Disabilities,Students With Disabilities,65,0.9502,67.0,0.9662,71.0,0.9494,"41.676185989, -72.407882033)"
Hebron School District,Free/Reduced Lunch,Free Meal Eligible,75,0.9448,74.0,0.9623,,,"41.676185989, -72.407882033)"
Hebron School District,Free/Reduced Lunch,Reduced Price Meal Eligible,28,0.9407,21.0,0.9595,,,"41.676185989, -72.407882033)"
Hebron School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,103,0.9437,95.0,0.9617,91.0,0.9488,"41.676185989, -72.407882033)"
Hebron School District,Race/Ethnicity,Hispanic/Latino of any race,35,0.9377,30.0,0.9461,23.0,0.9554,"41.676185989, -72.407882033)"
Hebron School District,Race/Ethnicity,White,563,0.9537,543.0,0.9719,544.0,0.9583,"41.676185989, -72.407882033)"
Hebron School District,High Needs,Students Without High Needs,476,0.9557,454.0,0.9729,452.0,0.9606,"41.676185989, -72.407882033)"
Hebron School District,High Needs,Students With High Needs,149,0.9462,142.0,0.9645,141.0,0.9519,"41.676185989, -72.407882033)"
Kent School District,,All Students,195,0.9455,189.0,0.9665,190.0,0.9565,"41.724059983, -73.482056034)"
Kent School District,Students With Disabilities,Students With Disabilities,21,0.9267,,,,,"41.724059983, -73.482056034)"
Kent School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,43,0.9193,40.0,0.9572,45.0,0.9479,"41.724059983, -73.482056034)"
Kent School District,Race/Ethnicity,White,166,0.9467,155.0,0.9671,159.0,0.9552,"41.724059983, -73.482056034)"
Kent School District,High Needs,Students Without High Needs,139,0.9537,136.0,0.9705,133.0,0.9593,"41.724059983, -73.482056034)"
Kent School District,High Needs,Students With High Needs,55,0.9244,51.0,0.9553,57.0,0.9498,"41.724059983, -73.482056034)"
Killingly School District,,All Students,2245,0.9093,2236.0,0.8966,2317.0,0.9378,"41.849389, -71.852359)"
Killingly School District,Students With Disabilities,Students With Disabilities,388,0.8849,357.0,0.8592,383.0,0.9154,"41.849389, -71.852359)"
Killingly School District,Free/Reduced Lunch,Free Meal Eligible,847,0.8825,841.0,0.8501,1031.0,0.9239,"41.849389, -71.852359)"
Killingly School District,Free/Reduced Lunch,Reduced Price Meal Eligible,149,0.9107,157.0,0.8901,168.0,0.9388,"41.849389, -71.852359)"
Killingly School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,996,0.8867,998.0,0.8565,1199.0,0.926,"41.849389, -71.852359)"
Killingly School District,English Learners,English Learners,60,0.9096,63.0,0.8847,59.0,0.9393,"41.849389, -71.852359)"
Killingly School District,Race/Ethnicity,All other races,214,0.9093,212.0,0.8825,213.0,0.9411,"41.849389, -71.852359)"
Killingly School District,Race/Ethnicity,Black or African American,35,0.9191,37.0,0.8824,51.0,0.9298,"41.849389, -71.852359)"
Killingly School District,Race/Ethnicity,Hispanic/Latino of any race,259,0.8855,222.0,0.8571,221.0,0.9245,"41.849389, -71.852359)"
Killingly School District,Race/Ethnicity,White,1737,0.9126,1765.0,0.9035,1832.0,0.9393,"41.849389, -71.852359)"
Killingly School District,High Needs,Students Without High Needs,1022,0.931,1025.0,0.9335,984.0,0.9528,"41.849389, -71.852359)"
Killingly School District,High Needs,Students With High Needs,1161,0.8914,1155.0,0.8647,1333.0,0.9266,"41.849389, -71.852359)"
Lebanon School District,,All Students,886,0.9386,898.0,0.9625,934.0,0.9534,"41.62312301, -72.239590014)"
Lebanon School District,Students With Disabilities,Students With Disabilities,146,0.9221,153.0,0.9384,166.0,0.9419,"41.62312301, -72.239590014)"
Lebanon School District,Free/Reduced Lunch,Free Meal Eligible,202,0.9227,210.0,0.9397,230.0,0.9409,"41.62312301, -72.239590014)"
Lebanon School District,Free/Reduced Lunch,Reduced Price Meal Eligible,40,0.9262,42.0,0.9621,60.0,0.9537,"41.62312301, -72.239590014)"
Lebanon School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,242,0.9233,252.0,0.9434,290.0,0.9436,"41.62312301, -72.239590014)"
Lebanon School District,Race/Ethnicity,Hispanic/Latino of any race,66,0.9362,61.0,0.9549,52.0,0.9534,"41.62312301, -72.239590014)"
Lebanon School District,Race/Ethnicity,White,776,0.9404,787.0,0.9639,831.0,0.9531,"41.62312301, -72.239590014)"
Lebanon School District,High Needs,Students Without High Needs,557,0.9464,543.0,0.972,553.0,0.9588,"41.62312301, -72.239590014)"
Lebanon School District,High Needs,Students With High Needs,324,0.9254,343.0,0.9489,381.0,0.9455,"41.62312301, -72.239590014)"
Ledyard School District,,All Students,2424,0.9117,2305.0,0.8464,2341.0,0.9527,"41.452250998, -72.067796035)"
Ledyard School District,Students With Disabilities,Students With Disabilities,406,0.8964,400.0,0.8283,445.0,0.9464,"41.452250998, -72.067796035)"
Ledyard School District,Free/Reduced Lunch,Free Meal Eligible,376,0.8859,470.0,0.8068,527.0,0.9404,"41.452250998, -72.067796035)"
Ledyard School District,Free/Reduced Lunch,Reduced Price Meal Eligible,117,0.8955,162.0,0.8261,177.0,0.9507,"41.452250998, -72.067796035)"
Ledyard School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,493,0.8881,632.0,0.8118,704.0,0.9431,"41.452250998, -72.067796035)"
Ledyard School District,English Learners,English Learners,37,0.9177,30.0,0.8752,37.0,0.9543,"41.452250998, -72.067796035)"
Ledyard School District,Race/Ethnicity,All other races,306,0.902,282.0,0.8239,279.0,0.9486,"41.452250998, -72.067796035)"
Ledyard School District,Race/Ethnicity,Black or African American,110,0.889,109.0,0.8414,125.0,0.9511,"41.452250998, -72.067796035)"
Ledyard School District,Race/Ethnicity,Hispanic/Latino of any race,283,0.8955,248.0,0.8389,260.0,0.95,"41.452250998, -72.067796035)"
Ledyard School District,Race/Ethnicity,White,1725,0.9174,1666.0,0.8516,1677.0,0.9539,"41.452250998, -72.067796035)"
Ledyard School District,High Needs,Students Without High Needs,1587,0.9209,1360.0,0.8638,1355.0,0.9585,"41.452250998, -72.067796035)"
Ledyard School District,High Needs,Students With High Needs,787,0.8937,891.0,0.8196,986.0,0.9447,"41.452250998, -72.067796035)"
Lisbon School District,,All Students,381,0.9206,397.0,0.9483,387.0,0.9601,"41.605164992, -72.015691023)"
Lisbon School District,Students With Disabilities,Students With Disabilities,62,0.9106,60.0,0.9359,60.0,0.946,"41.605164992, -72.015691023)"
Lisbon School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,132,0.9145,155.0,0.9391,143.0,0.956,"41.605164992, -72.015691023)"
Lisbon School District,Race/Ethnicity,Hispanic/Latino of any race,44,0.899,53.0,0.9277,44.0,0.9467,"41.605164992, -72.015691023)"
Lisbon School District,Race/Ethnicity,White,303,0.9234,304.0,0.951,302.0,0.962,"41.605164992, -72.015691023)"
Lisbon School District,High Needs,Students Without High Needs,203,0.9279,205.0,0.9542,215.0,0.9648,"41.605164992, -72.015691023)"
Lisbon School District,High Needs,Students With High Needs,168,0.9156,183.0,0.9418,172.0,0.954,"41.605164992, -72.015691023)"
Litchfield School District,,All Students,808,0.9299,805.0,0.9497,833.0,0.9586,"41.745794007, -73.194830005)"
Litchfield School District,Students With Disabilities,Students With Disabilities,141,0.8996,133.0,0.9344,142.0,0.9363,"41.745794007, -73.194830005)"
Litchfield School District,Free/Reduced Lunch,Free Meal Eligible,103,0.9088,115.0,0.9344,142.0,0.9491,"41.745794007, -73.194830005)"
Litchfield School District,Free/Reduced Lunch,Reduced Price Meal Eligible,28,0.9248,30.0,0.9476,46.0,0.9543,"41.745794007, -73.194830005)"
Litchfield School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,131,0.9122,145.0,0.9372,188.0,0.9504,"41.745794007, -73.194830005)"
Litchfield School District,Race/Ethnicity,Hispanic/Latino of any race,59,0.9107,50.0,0.9425,44.0,0.9482,"41.745794007, -73.194830005)"
Litchfield School District,Race/Ethnicity,White,706,0.9314,716.0,0.9506,748.0,0.9589,"41.745794007, -73.194830005)"
Litchfield School District,High Needs,Students Without High Needs,562,0.9369,545.0,0.954,547.0,0.9646,"41.745794007, -73.194830005)"
Litchfield School District,High Needs,Students With High Needs,240,0.913,248.0,0.9403,286.0,0.947,"41.745794007, -73.194830005)"
Madison School District,,All Students,2414,0.9593,2479.0,0.975,2584.0,0.9625,"41.339776639, -72.628615915)"
Madison School District,Students With Disabilities,Students With Disabilities,339,0.9527,362.0,0.9674,380.0,0.9592,"41.339776639, -72.628615915)"
Madison School District,Free/Reduced Lunch,Free Meal Eligible,66,0.939,66.0,0.9536,66.0,0.9498,"41.339776639, -72.628615915)"
Madison School District,Free/Reduced Lunch,Reduced Price Meal Eligible,23,0.9626,25.0,0.942,26.0,0.9586,"41.339776639, -72.628615915)"
Madison School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,89,0.9451,91.0,0.9503,92.0,0.9523,"41.339776639, -72.628615915)"
Madison School District,English Learners,English Learners,39,0.9575,34.0,0.9682,38.0,0.9583,"41.339776639, -72.628615915)"
Madison School District,Race/Ethnicity,All other races,183,0.9693,187.0,0.9796,211.0,0.9668,"41.339776639, -72.628615915)"
